codi_carrer,numpost,llepost,tipusnum,districte,barri,secc_est,secc_cens,dist_post,x_ed50,y_ed50,x_etrs89,y_etrs89,longitud_wgs84,latitud_wgs84
76230.0,11,,,10,101,,1007,,,,726848.3160026011,4371111.356897209,-0.36328777070429447,39.459706793816004
39300.0,10,,,9,091,,0905,,,,724617.496002599,4370722.59789721,-0.3893225756804804,39.45679227718563
81713.0,1,,,15,151,,1512,,,,725888.2870026042,4374727.476897186,-0.3732106675233542,39.49250834555333
73950.0,117,,,8,083,,0826,,,,723453.1700025975,4371437.237897207,-0.40260295681570357,39.463527913615515
70620.0,86,,,12,121,,1209,,,,728349.2720026032,4372157.054897201,-0.34550148663254526,39.4687223481658
71400.0,13,,,1,015,,0125,,,,725625.0300026023,4372605.3968972,-0.3769871272995129,39.47347630164827
17820.0,86,,,11,113,,1138,,,,729941.7220026044,4373335.593897193,-0.3266022467671544,39.47890624129116
18390.0,9,,,8,081,,0802,,,,724359.4190025993,4371863.199897203,-0.39193580566292163,39.467126436624184
81207.0,5,,,10,103,,1027,,,,726002.4500025997,4370039.603897216,-0.3734725607139823,39.45028219397146
65250.0,2,,,1,016,,0132,,,,725783.8380026021,4372118.482897202,-0.3753075100674203,39.469051869659864
81149.0,31,,,8,083,,0837,,,,723426.9040025976,4371349.167897209,-0.40293746045708206,39.462741980290296
32160.0,9,,,9,092,,0916,,,,724841.5415025989,4370391.451697214,-0.3868326042176073,39.45375307888588
38320.0,54,,,11,115,,1145,,,,729690.3810026007,4369946.995897214,-0.3306877204648672,39.44847316048732
38640.0,41,,,11,111,,1106,,,,729504.4620026026,4371385.308897206,-0.33235174473795337,39.461468773841105
81198.0,19,,,10,105,,1037,,,,727016.9810026009,4370762.248897212,-0.36144800761317314,39.456519998393624
81488.0,15,,,8,082,,0835,,,,723462.7950025962,4370083.159897215,-0.4029444516152664,39.45133685986099
26310.0,16,,,11,111,,1102,,,,729548.8210026021,4370730.637897209,-0.3320617829061027,39.45556435062676
17760.0,22,,,1,016,,0131,,,,725743.4130026014,4372229.716897202,-0.3757393433552421,39.47006370653554
12540.0,192,,,16,161,,1612,,,,724133.5210026021,4374700.432897186,-0.39360554862439917,39.492723987508896
66480.0,20,,,8,081,,0810,,,,724180.2890025987,4371388.937897206,-0.39417540582115523,39.462904130770355
26820.0,17,,,14,141,,1412,,,,726854.7210026046,4373949.310897192,-0.36224828381284907,39.48524969432775
31740.0,67,,,10,106,,1041,,,,727220.0720025997,4369745.3578972155,-0.35943590930241265,39.44731333678684
26130.0,10,,,1,014,,0123,,,,725285.5120026014,4372334.6368972,-0.38102177923866437,39.47112807707786
62610.0,181,,,15,152,,1515,,,,725985.590402605,4374976.622497184,-0.37199577806623496,39.49472536770334
68400.0,7,,,1,012,,0107,,,,725996.498002602,4372512.9598972,-0.3727041822604589,39.47254680431906
39690.0,25,,,9,093,,0926,,,,724797.4990025982,4370170.543897214,-0.3874183499796647,39.451776125457734
61620.0,67,,,11,112,,1108,,,,729648.768002603,4371833.697897201,-0.33052181563073135,39.465466174939586
20850.0,8,,,1,013,,0112,,,,725234.2920026025,4373081.092897196,-0.381364572630773,39.47786047397881
50010.0,17,,,11,112,,1112,,,,730026.2090026026,4371923.287897202,-0.3261079674764452,39.4661717937786
23870.0,5,,,6,064,,0624,,,,727364.8030026043,4373103.038897196,-0.35661179140824056,39.47749774880058
35100.0,161,,,3,031,,0308,,,,725015.6490026021,4373085.391897197,-0.38390263942766306,39.47795636921919
81640.0,83,,,18,182,,1804,,,,722857.9220026007,4374959.895897186,-0.4083381311508181,39.4953909766451
59550.0,5,,,10,102,,1019,,,,726419.2240026012,4370810.817297208,-0.36837221096688655,39.4571145346773
39600.0,17,,,7,071,,0718,,,,723876.2330025991,4372195.744897203,-0.39743557347299596,39.47024557200023
8880.0,8,,,8,081,,0815,,,,724495.9530025991,4371388.447897208,-0.3905099239145602,39.46281747154573
36690.0,20,,,12,123,,1232,,,,728820.5210026021,4371223.144897207,-0.34034909317489154,39.46019117646086
31530.0,71,,,8,083,,0837,,,,723580.5480025981,4371300.440897208,-0.40116958373112177,39.462263487398396
66420.0,37,,,2,023,,0255,,,,726794.4680026025,4371762.267897202,-0.36369184704880875,39.4655798804002
13320.0,7,,,19,195,,1909,,,,731281.6800025824,4354871.033897312,-0.31741662993583847,39.31235092788179
34080.0,18,,,10,101,,1009,,,,726991.4380026015,4370982.270897208,-0.36166977837105596,39.45850716553404
25470.0,2,,,6,062,,0607,,,,726744.2940026028,4372694.036897198,-0.36395782818478645,39.473980016280855
76560.0,10,,,13,134,,1323,,,,727918.6160026046,4373121.563897194,-0.3501731699989349,39.47751799293265
51930.0,30,,,1,013,,0110,,,,725196.1878026028,4373321.443397191,-0.3817259826999609,39.48003388576859
60420.0,35,,,13,132,,1309,,,,728094.4420026032,4372350.496897198,-0.348394706058682,39.47053107193246
38820.0,86,,,11,112,,1108,,,,729630.5914026031,4371905.808597203,-0.33070807416802245,39.46612007973994
37890.0,17,,,6,063,,0618,,,,726714.0440026037,4373549.500897193,-0.3640183358216369,39.48168806786238
60900.0,5,,,1,015,,0126,,,,725595.7588026017,4372482.860697199,-0.37736852773404517,39.47238100628966
10140.0,24,,,16,161,,1603,,,,724074.1680026016,4374490.7258971855,-0.39436559108347774,39.490851826237105
5550.0,60,,,3,033,,0317,,,,724529.9730026003,4372131.583897203,-0.38986481312665694,39.46949776402103
81784.0,6,,,10,106,,1054,,,,729137.3560025997,4369343.804897218,-0.33731502073363734,39.4431911684751
25440.0,26,,,15,152,,1530,,,,725207.0120026041,4374740.773897184,-0.3811207496714133,39.49280668911197
58830.0,30,,,12,125,,1246,,,,728108.978002602,4371070.762897208,-0.3486633344271226,39.459008377956515
38400.0,71,,,10,103,,1027,,,,725968.7980025999,4369996.923897216,-0.3738777098668848,39.449906852596804
59040.0,7,,,8,081,,0810,,,,724084.4120025983,4371407.524897208,-0.3952825391290704,39.4630963966828
38640.0,6,,,11,111,,1104,,,,729069.2630026028,4371452.615897206,-0.3373820601078958,39.46219048485403
15130.0,10,,,14,141,,1406,,,,727248.0790026048,4373988.084897189,-0.3576658562980099,39.4854948863261
81767.0,2,,,11,115,,1147,,,,729334.6220026019,4370461.43789721,-0.3346412552528903,39.45319837864856
60420.0,39,,,13,132,,1309,,,,728160.9800026038,4372327.5098972,-0.3476298381044486,39.47030653271166
57780.0,3,,,11,112,,1122,,,,729560.1375026036,4372348.7204972,-0.3313738331098856,39.470125446513364
23700.0,22,,,1,015,,0125,,,,725614.3870026022,4372634.025897198,-0.3771010530247023,39.47373678584573
69480.0,4,,,1,016,,0128,,,,725615.332002602,4372277.394897201,-0.37721069438234245,39.47052644450327
81310.0,22,,,6,062,,0615,,,,727281.534002603,4372340.594897202,-0.35783872320883464,39.470656972211515
57540.0,48,,,12,121,,1208,,,,728244.7886026027,4371907.136197202,-0.34680034701355766,39.46650055236962
22020.0,25,,,3,034,,0340,,,,724904.7330026003,4371899.4558972055,-0.3855907668793055,39.4673104925429
9000.0,148,,,11,112,,1122,,,,729772.4496026032,4372301.368597197,-0.32892453615423933,39.46964259408992
52050.0,6,,,1,012,,0105,,,,725998.2720026026,4372868.843897199,-0.372562998825405,39.47574969552114
45660.0,13,,,8,081,,0803,,,,724412.4620025996,4371598.903897206,-0.39140869119033206,39.46473361000996
25530.0,36,,,1,016,,0131,,,,726108.5250026025,4372259.7318972,-0.37148893878754474,39.47023804565149
29280.0,17,,,13,132,,1308,,,,728228.2170026038,4372546.751897199,-0.3467739889627207,39.47226209294268
68040.0,27,,,19,198,,1912,,,,724018.7300025949,4367695.74089723,-0.397290171278174,39.42970244883037
24420.0,55,,,13,133,,1320,,,,728012.3020026035,4372390.0848972015,-0.34933509764685666,39.47090916429459
60810.0,11,,,9,092,,0923,,,,724634.1862025985,4370370.480597213,-0.3892472508574857,39.45361841896615
81354.0,6,,,11,113,,1135,,,,729903.6230026039,4373222.691897192,-0.3270836715863222,39.47790021396806
61620.0,363,,,11,112,,1131,,,,729758.8660026041,4372772.985897196,-0.3289198524771044,39.47389115877593
60450.0,16,,,5,052,,0511,,,,725618.5270026029,4373653.392897192,-0.37670809739204403,39.48291117692345
38310.0,19,,,3,033,,0319,,,,724586.8070026007,4372599.075897199,-0.38904738068836237,39.47369094969772
