ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag
35,InPost,Convenience Stores,Privada,Premises,Valencia,46009,Plasticos Mas Masia,"C. Maximiliano Thous, 10",39.48792112843391,-0.3759129429379055,InPost,Convenience stores,Private,Premises,Valencia,Plasticos Mas Masia,"C. Maximiliano Thous, 10",46009.0,,,
36,InPost,Convenience Stores,Privada,Premises,Valencia,46007,Outlet Destino 7,"C. de Pelayo, 34",39.46588619078027,-0.3792181958704386,InPost,Convenience stores,Private,Premises,Valencia,Outlet Destino 7,"C. de Pelayo, 34",46007.0,,,
37,InPost,Convenience Stores,Privada,Premises,Valencia,46007,Uno Electro,"C. de Honorato Juan, 2",39.46435932220713,-0.3861947452685974,InPost,Convenience stores,Private,Premises,Valencia,Uno Electro,"C. de Honorato Juan, 2",46007.0,,,
38,InPost,Convenience Stores,Privada,Premises,Valencia,46007,Passatems I Oci,"C/ de Jesús, 94",39.4620465826638,-0.387355635440246,InPost,Convenience stores,Private,Premises,Valencia,Passatems I Oci,"C/ de Jesús, 94",46007.0,,,
39,InPost,Convenience Stores,Privada,Premises,Valencia,46025,Mercamundo,Av. del Dr. Peset Aleixandre,39.49048168284261,-0.3817729828731399,InPost,Convenience stores,Private,Premises,Valencia,Mercamundo,Av. del Dr. Peset Aleixandre,46025.0,,,
40,InPost,Convenience Stores,Privada,Premises,Valencia,46003,Libreria Papeleria Regolf,"C. del Mar, 47",39.47357531882066,-0.3710040552328909,InPost,Convenience stores,Private,Premises,Valencia,Libreria Papeleria Regolf,"C. del Mar, 47",46003.0,,,
41,InPost,Convenience Stores,Privada,Premises,Valencia,46025,Reparacion De Calzado Soriano,"C/ Loriguilla, 3",39.49023373164648,-0.3864115537499547,InPost,Convenience stores,Private,Premises,Valencia,Reparacion De Calzado Soriano,"C/ Loriguilla, 3",46025.0,,,
42,InPost,Convenience Stores,Privada,Premises,Valencia,46009,Papeleria Mussol,"C. de Platero Suárez, 16",39.48580546265062,-0.3729528431558834,InPost,Convenience stores,Private,Premises,Valencia,Papeleria Mussol,"C. de Platero Suárez, 16",46009.0,,,
43,InPost,Convenience Stores,Privada,Premises,Valencia,46007,El Saloncito De Anna,"C/ Estrella, 15",39.46578806473263,-0.3806588887195551,InPost,Convenience stores,Private,Premises,Valencia,El Saloncito De Anna,"C/ Estrella, 15",46007.0,,,
44,InPost,Convenience Stores,Privada,Premises,Valencia,46010,Loterias Vimas,"C. Alboraya, 48",39.48495863469806,-0.3691181597630499,InPost,Convenience stores,Private,Premises,Valencia,Loterias Vimas,"C. Alboraya, 48",46010.0,,,
45,InPost,Convenience Stores,Privada,Premises,Valencia,46015,Tentaciones,"Av. Tamarindos, 33",39.47884661566245,-0.4024293543673231,InPost,Convenience stores,Private,Premises,Valencia,Tentaciones,"Av. Tamarindos, 33",46015.0,,,
46,InPost,Convenience Stores,Privada,Premises,Valencia,46018,Eco Estore Patraix,"Calle Maestro Bellver, 24",39.46555591042761,-0.3918721724721811,InPost,Convenience stores,Private,Premises,Valencia,Eco Estore Patraix,"Calle Maestro Bellver, 24",46018.0,,,
47,InPost,Convenience Stores,Privada,Premises,Valencia,46018,Jd Market,"Carrer de Burgos, 3",39.46951615581797,-0.3996254556775893,InPost,Convenience stores,Private,Premises,Valencia,Jd Market,"Carrer de Burgos, 3",46018.0,,,
48,InPost,Convenience Stores,Privada,Premises,Valencia,46003,Ferreteria Galan,"C/ de la Nave, 20",39.47212357470673,-0.3714693442645322,InPost,Convenience stores,Private,Premises,Valencia,Ferreteria Galan,"C/ de la Nave, 20",46003.0,,,
49,InPost,Convenience Stores,Privada,Premises,Valencia,46010,Power Navi Informatica,"C. Pintor Vilar, 14",39.48226440745045,-0.3702932937583059,InPost,Convenience stores,Private,Premises,Valencia,Power Navi Informatica,"C. Pintor Vilar, 14",46010.0,,,
50,InPost,Convenience Stores,Privada,Premises,Valencia,46009,Papeleria Mapamundi,"Av. de la Constitución, 136",39.49012512090312,-0.375301129334487,InPost,Convenience stores,Private,Premises,Valencia,Papeleria Mapamundi,"Av. de la Constitución, 136",46009.0,,,
51,InPost,Convenience Stores,Privada,Premises,Valencia,46007,Cbox Valencia,"Av. de Giorgeta, 30",39.459046547032166,-0.3844345345356533,InPost,Convenience stores,Private,Premises,Valencia,Cbox Valencia,"Av. de Giorgeta, 30",46007.0,,,
52,InPost,Convenience Stores,Privada,Kiosk,Valencia,46009,Kiosco Acme,"C/ del Padre Urbano, 37",39.48935970989911,-0.3722556236795907,InPost,Convenience stores,Private,Kiosk,Valencia,Kiosco Acme,"C/ del Padre Urbano, 37",46009.0,,,
53,InPost,Convenience Stores,Privada,Premises,Valencia,46010,Le Parisien Nailsbeauty Bar,"Pl. de la Legión Española, 12",39.47864157920949,-0.3665946555081119,InPost,Convenience stores,Private,Premises,Valencia,Le Parisien Nailsbeauty Bar,"Pl. de la Legión Española, 12",46010.0,,,
54,InPost,Convenience Stores,Privada,Premises,Valencia,46007,Fruteria Internacional,"Av. de Gaspar Aguilar, 13",39.45888094926895,-0.3888369565695674,InPost,Convenience stores,Private,Premises,Valencia,Fruteria Internacional,"Av. de Gaspar Aguilar, 13",46007.0,,,
55,InPost,Convenience Stores,Privada,Premises,Valencia,46025,Perfumarte Juan Xxiii,"Av. de Juan XXIII, 4",39.49083590068663,-0.3819775182880032,InPost,Convenience stores,Private,Premises,Valencia,Perfumarte Juan Xxiii,"Av. de Juan XXIII, 4",46025.0,,,
56,InPost,Convenience Stores,Privada,Premises,Valencia,46015,Mioptico Campanar,"Av. de Manuel de Falla, 13",39.47733539697087,-0.4050743724855861,InPost,Convenience stores,Private,Premises,Valencia,Mioptico Campanar,"Av. de Manuel de Falla, 13",46015.0,,,
57,InPost,Convenience Stores,Privada,Premises,Valencia,46025,Charmotal,"C. Félix del Río, 45",39.49135284886025,-0.3835763358986839,InPost,Convenience stores,Private,Premises,Valencia,Charmotal,"C. Félix del Río, 45",46025.0,,,
58,InPost,Convenience Stores,Privada,Premises,Valencia,46003,La Presencia Magica,"C. del Mar, 11",39.47429314252472,-0.3747231022641966,InPost,Convenience stores,Private,Premises,Valencia,La Presencia Magica,"C. del Mar, 11",46003.0,,,
59,InPost,Convenience Stores,Privada,Premises,Valencia,46018,Ilusionarte,Carrer de Fontanars dels Alforins,39.46032411304509,-0.3941860378088671,InPost,Convenience stores,Private,Premises,Valencia,Ilusionarte,Carrer de Fontanars dels Alforins,46018.0,,,
60,InPost,Convenience Stores,Privada,Premises,Valencia,46004,Uala Accesorios Ruzafa,"C/ de Russafa, 14",39.46663084053073,-0.3745823273944396,InPost,Convenience stores,Private,Premises,Valencia,Uala Accesorios Ruzafa,"C/ de Russafa, 14",46004.0,,,
61,InPost,Convenience Stores,Privada,Premises,Valencia,46010,Prink Primado Reig,"Av. Primado Reig, 54",39.48708988687053,-0.3670157966499422,InPost,Convenience stores,Private,Premises,Valencia,Prink Primado Reig,"Av. Primado Reig, 54",46010.0,,,
62,InPost,Locker,Privada,Service Station,Valencia,46035,24/7 Lion Energy,C/ de la Vall de la Ballestera,39.47935905000482,-0.4002467324836345,InPost,Lockers,Private,Service Station,Valencia,24/7 Lion Energy,C/ de la Vall de la Ballestera,46035.0,,,
63,InPost,Convenience Stores,Privada,Premises,Valencia,46004,Zeustreetwear,"C. de Cádiz, 58",39.461365138798726,-0.3731432506554337,InPost,Convenience stores,Private,Premises,Valencia,Zeustreetwear,"C. de Cádiz, 58",46004.0,,,
64,InPost,Locker,Privada,Gym,Valencia,46020,Gimnasio Forma Sport Alb,"Camí Vell d'Alboraia, 20",39.48830920971478,-0.3664734572569786,InPost,Lockers,Private,Gym,Valencia,Gimnasio Forma Sport Alb,"Camí Vell d'Alboraia, 20",46020.0,,,
65,InPost,Locker,Privada,Kiosk,Valencia,46018,Kiosco Patraix,C. Dibujante Manuel Gago,39.46233660602732,-0.3909836070460281,InPost,Lockers,Private,Kiosk,Valencia,Kiosco Patraix,C. Dibujante Manuel Gago,46018.0,,,
66,InPost,Locker,Privada,Premises,Valencia,46014,Laundry Park Patraix,"C/ de Torrent, 1",39.46232867970826,-0.399141610393207,InPost,Lockers,Private,Premises,Valencia,Laundry Park Patraix,"C/ de Torrent, 1",46014.0,,,
67,InPost,Convenience Stores,Privada,Service Station,Valencia,46009,24/7 Galp Valencia Prima,"Av. Primado Reig, 10",39.49060959797679,-0.3720488498338424,InPost,Convenience stores,Private,Service Station,Valencia,24/7 Galp Valencia Prima,"Av. Primado Reig, 10",46009.0,,,
68,InPost,Locker,Privada,Kiosk,Valencia,46025,Kiosco Loterial Peset,Av. del Dr. Peset Aleixandre,39.49062304057176,-0.3816933984675658,InPost,Lockers,Private,Kiosk,Valencia,Kiosco Loterial Peset,Av. del Dr. Peset Aleixandre,46025.0,,,
69,InPost,Convenience Stores,Privada,Gym,Valencia,46006,Gimnasio Forma Sport Ruz,"C. de Sueca, 20",39.46243751114118,-0.3759625429192373,InPost,Convenience stores,Private,Gym,Valencia,Gimnasio Forma Sport Ruz,"C. de Sueca, 20",46006.0,,,
70,InPost,Convenience Stores,Privada,Premises,Valencia,46005,Papeleria Alpe,"C. Músico Padilla, 4",39.463383738390085,-0.3706942417036159,InPost,Convenience stores,Private,Premises,Valencia,Papeleria Alpe,"C. Músico Padilla, 4",46005.0,,,
71,InPost,Convenience Stores,Privada,Premises,Valencia,46005,Floristeria Azalea,"C. del Maestro Gozalbo, 4",39.46624824876887,-0.3700545125434768,InPost,Convenience stores,Private,Premises,Valencia,Floristeria Azalea,"C. del Maestro Gozalbo, 4",46005.0,,,
72,InPost,Convenience Stores,Privada,Premises,Valencia,46014,Perfumarte,Carrer de Fontanars dels Alforins,39.460241217686,-0.3941320764018597,InPost,Convenience stores,Private,Premises,Valencia,Perfumarte,Carrer de Fontanars dels Alforins,46014.0,,,
73,InPost,Convenience Stores,Privada,Premises,Valencia,46004,Eton,"C. de Pizarro, 19",39.467201302079474,-0.3716966569178055,InPost,Convenience stores,Private,Premises,Valencia,Eton,"C. de Pizarro, 19",46004.0,,,
74,InPost,Convenience Stores,Privada,Premises,Valencia,46004,Mascleta Bike Rental,"C. de Cuba, 1",39.46340021298703,-0.3775945713577464,InPost,Convenience stores,Private,Premises,Valencia,Mascleta Bike Rental,"C. de Cuba, 1",46004.0,,,
75,InPost,Convenience Stores,Privada,Premises,Valencia,46020,Ananda,"Carrer d'Albocàsser, 25",39.48724186249662,-0.3643448615267514,InPost,Convenience stores,Private,Premises,Valencia,Ananda,"Carrer d'Albocàsser, 25",46020.0,,,
76,InPost,Convenience Stores,Privada,Premises,Valencia,46015,Herboristeria Flor Del Turia,"Carrer de la Serra Martés, 18",39.48866961346318,-0.3923688245138712,InPost,Convenience stores,Private,Premises,Valencia,Herboristeria Flor Del Turia,"Carrer de la Serra Martés, 18",46015.0,,,
77,InPost,Convenience Stores,Privada,Premises,Valencia,46006,Ibertinta Valencia,"Av. de Peris y Valero, 85",39.458962907307736,-0.3719899146829322,InPost,Convenience stores,Private,Premises,Valencia,Ibertinta Valencia,"Av. de Peris y Valero, 85",46006.0,,,
78,InPost,Locker,Privada,Premises,Valencia,46019,Lacolada Alcanyis,"C/ d'Alcanyís, 5",39.49197592604522,-0.3776732879921231,InPost,Lockers,Private,Premises,Valencia,Lacolada Alcanyis,"C/ d'Alcanyís, 5",46019.0,,,
79,InPost,Locker,Privada,Premises,Valencia,46010,Lavanda Mestalla,"Av. de Suecia, 5",39.47393398296257,-0.35997191289136,InPost,Lockers,Private,Premises,Valencia,Lavanda Mestalla,"Av. de Suecia, 5",46010.0,,,
80,InPost,Convenience Stores,Privada,Premises,Valencia,46004,Geles,"C/ Gral. San Martín, 12",39.4655823053066,-0.3749256409096501,InPost,Convenience stores,Private,Premises,Valencia,Geles,"C/ Gral. San Martín, 12",46004.0,,,
81,InPost,Convenience Stores,Privada,Premises,Valencia,46005,Ferreteria Insa Valencia,"Calle de Matías Perelló, 8",39.461033838370135,-0.3689090926299903,InPost,Convenience stores,Private,Premises,Valencia,Ferreteria Insa Valencia,"Calle de Matías Perelló, 8",46005.0,,,
82,InPost,Convenience Stores,Privada,Kiosk,Valencia,46010,Kiosco Jaime Roig,"C. Jaime Roig, 25",39.48356997429615,-0.363318719102657,InPost,Convenience stores,Private,Kiosk,Valencia,Kiosco Jaime Roig,"C. Jaime Roig, 25",46010.0,,,
83,InPost,Convenience Stores,Privada,Premises,Valencia,46020,Dulce Espacio,"C. de Dolores Marqués, 19",39.48744204422851,-0.3627402290939108,InPost,Convenience stores,Private,Premises,Valencia,Dulce Espacio,"C. de Dolores Marqués, 19",46020.0,,,
84,InPost,Convenience Stores,Privada,Premises,Valencia,46010,Papeleria Harcor,"C. de Álvaro de Bazán, 23",39.48101130540177,-0.3608479739821552,InPost,Convenience stores,Private,Premises,Valencia,Papeleria Harcor,"C. de Álvaro de Bazán, 23",46010.0,,,
85,InPost,Convenience Stores,Privada,Premises,Valencia,46005,Watermelon Phone World,Av. del Reino de Valencia,39.46382775645549,-0.367189808809757,InPost,Convenience stores,Private,Premises,Valencia,Watermelon Phone World,Av. del Reino de Valencia,46005.0,,,
86,InPost,Convenience Stores,Privada,Premises,Valencia,46023,Geekfy,"Av. del Puerto, 18",39.468388707949394,-0.3593242905828013,InPost,Convenience stores,Private,Premises,Valencia,Geekfy,"Av. del Puerto, 18",46023.0,,,
87,InPost,Convenience Stores,Privada,Premises,Valencia,46005,Estanco Joaquin Costa,"C. Joaquín Costa, 44",39.46457346458152,-0.3662468638862285,InPost,Convenience stores,Private,Premises,Valencia,Estanco Joaquin Costa,"C. Joaquín Costa, 44",46005.0,,,
88,InPost,Convenience Stores,Privada,Premises,Valencia,46010,Estanco Amadeo Saboya,"C. de Amadeo de Saboya, 24",39.47300758687527,-0.3595388945752227,InPost,Convenience stores,Private,Premises,Valencia,Estanco Amadeo Saboya,"C. de Amadeo de Saboya, 24",46010.0,,,
89,InPost,Convenience Stores,Privada,Premises,Valencia,46006,Holamobi Ruzafa,"C. Francisco Sempere, 11",39.46150757668239,-0.3714362578928818,InPost,Convenience stores,Private,Premises,Valencia,Holamobi Ruzafa,"C. Francisco Sempere, 11",46006.0,,,
