Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
390,610,391,611,SEUR,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Karpet Papeleria Tecnica,Estanco Prensa C/ Joaquin Costa 44,"C. Joaquín Costa, 46","C. Joaquín Costa, 44",22.9,94.44,28.07,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
390,869,391,870,SEUR,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Karpet Papeleria Tecnica,Fnx-Estanco Joaquin Costa 44,"C. Joaquín Costa, 46","C. Joaquín Costa, 44",23.34,94.44,15.38,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
400,614,401,615,SEUR,Ctt Express,Locker,Convenience Stores,PUDO,PUDO,Seur Lockers Pcbox Valenci,Libreria Salamanca,"CL/SALAMANCA, No48","C. de Salamanca, 42",18.6,76.47,36.36,False,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
406,612,407,613,SEUR,Ctt Express,Locker,Convenience Stores,PUDO,PUDO,Seur Lockers Lidl Peris,Phonehub,"Av. de Peris y Valero, 145","Av. de Peris y Valero, 143",26.55,95.83,12.9,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
427,428,428,429,SEUR,SEUR,Locker,Convenience Stores,PUDO,PUDO,Seur Lockers Grupo Condor,Sia Euro Tec,"Av. de Amado Granell Mesado, 17","Av. de Amado Granell Mesado, 21",25.11,96.55,37.84,True,False,True,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
436,712,437,713,SEUR,Ctt Express,Locker,Convenience Stores,PUDO,PUDO,Seur Lockers Grupo Condor,La Bodeguita Latina Expess,"C. Padre Viñas, 56","C. Padre Viñas, 58",15.61,93.75,23.53,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
437,715,438,716,SEUR,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Oulet Destino 19,Locutorio Nino,"C/ de Pedro Cabanes, 86","C/ d'Alcanyís, 34",21.65,50.0,46.67,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
449,675,450,676,SEUR,Ctt Express,Lsp Pudos,Convenience Stores,PUDO,PUDO,Centro Logístico SEUR,Droguería Paquetería Tarín,"C/ de l'Arxiduc Carles, 109","C. Virgen de la Cabeza, 60",24.86,53.06,25.53,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
467,891,468,892,Dhl,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Planta Loca,Fnx-Loterias Vimas,"C. Alboraya, 45","C. Alboraya, 48",26.69,92.31,34.48,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
496,661,497,662,Dhl,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Expendeduria 164 Valencia,Drogueria Rafael,"C. del Stmo. Cristo del Grao, 3","C. del Stmo. Cristo del Grao, 4",15.2,96.43,34.15,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
524,772,525,773,Celeritas,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco Prensa C/ Joaquin Costa 44,Ps Karpet Papeleria Tecnica,"C. Joaquín Costa, 44","C. Joaquín Costa, 46",19.08,94.44,30.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
540,647,541,648,Celeritas,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Papelería La Zaidía,Kiosco Acme,"C/ del Padre Urbano, 33","C/ del Padre Urbano, 37",29.53,95.24,13.33,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
541,649,542,650,Celeritas,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Acme,Papelería La Zaidía,"C/ del Padre Urbano, 37","C/ del Padre Urbano, 33",27.19,95.24,20.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
552,670,553,671,Celeritas,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Papeleria Gloria,Informatica Ramirez,"Carrer José María Mortes Lerma, 32","Carrer José María Mortes Lerma, 29",17.79,96.97,34.29,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
552,553,553,554,Celeritas,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Papeleria Gloria,Informatica Ramirez,"Carrer José María Mortes Lerma, 32","Carrer José María Mortes Lerma, 29",22.38,96.97,34.29,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
553,671,554,672,Celeritas,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Informatica Ramirez,Papeleria Gloria,"Carrer José María Mortes Lerma, 29","Carrer José María Mortes Lerma, 32",23.69,96.97,22.86,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
564,840,565,841,Celeritas,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Roma,Kiosco Roma (4604-86),"C. Brasil, 45","Pl. Roma, 5",16.15,30.0,73.33,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
610,772,611,773,Ctt Express,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco Prensa C/ Joaquin Costa 44,Ps Karpet Papeleria Tecnica,"C. Joaquín Costa, 44","C. Joaquín Costa, 46",22.31,94.44,30.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
612,951,613,952,Ctt Express,Pudo,Convenience Stores,Click&Collect,PUDO,PUDO,Phonehub,Lidl Peris I Valero,"Av. de Peris y Valero, 143","Av. de Peris y Valero, 145",16.44,95.83,14.81,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
