Location_Cluster_ID,Merged_Record_Count,Main_Type,id_final,Location,Address,Latitude,Longitude,Capacity_Sum,Zip_Code,ID,Company,Type,Infrastructure,Type Infrastructure,City,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag,Record_Service_Type_Code,Record_Service_Type_Name,Type_Group_Code,Cluster_Record_Count,Cluster_Company_Count,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Companies,Cluster_Review_Required
VAL_LOC_000055,4,PUDO,56,Mioptico Campanar,"Av. de Manuel de Falla, 13",39.47722598903701,-0.40515241010049596,420,46015.0,56 + 426 + 908 + 959,InPost + SEUR + UPS + Pudo,Convenience Stores + Locker + Click&Collect,Privada,Premises + Mall,Valencia,InPost + Seur + UPS + PUDO,Convenience stores + Lockers + Click&Collect,Private,Premises + Mall,Valencia,Mioptico Campanar + Seur Lockers C.C. Carrefou + CC Carr Campanar + C.C. Carrefour Campanar,"Av. de Manuel de Falla, 13 + Av. de Manuel de Falla, 13 + Av. de Manuel de Falla, 13 + Av. de Manuel de Falla, 13",46015.0 + 46015.0 + 46015.0 + 46015.0,,,,7 + 1 + 7 + 3,Convenience Store + Locker + Convenience Store + Click & Collect,1,4,4,True,False,True,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",26.31,2,Medium,InPost | Pudo | SEUR | UPS + InPost | Pudo | SEUR | UPS + InPost | Pudo | SEUR | UPS + InPost | Pudo | SEUR | UPS,False
VAL_LOC_000057,2,PUDO,58,La Presencia Magica,"C. del Mar, 11",39.474351782352606,-0.37472617197883684,240,46003.0,58 + 600,InPost + Ctt Express,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + CTT Express,Convenience stores,Private,Premises,Valencia + Valecia,La Presencia Magica + La Presencia Magica,"C. del Mar, 11 + C. del Mar, 11",46003.0 + 46003.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",13.05,1,High,Ctt Express | InPost + Ctt Express | InPost,False
VAL_LOC_000058,2,PUDO,59,Ilusionarte,Carrer de Fontanars dels Alforins,39.46028266536554,-0.39415905710536336,240,46018.0,59 + 72,InPost + InPost,Convenience Stores,Privada,Premises,Valencia,InPost + InPost,Convenience stores,Private,Premises,Valencia,Ilusionarte + Perfumarte,Carrer de Fontanars dels Alforins + Carrer de Fontanars dels Alforins,46018.0 + 46014.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,1,False,False,False,False,False,False,True,False,5,Convenience Store only,2,"Same company, multiple records",10.32,1,High,InPost + InPost,False
VAL_LOC_000060,2,PUDO,61,Prink Primado Reig,"Av. Primado Reig, 54",39.487040208367574,-0.3669943437971901,240,46010.0,61 + 402,InPost + SEUR,Convenience Stores,Privada,Premises,Valencia,InPost + Seur,Convenience stores,Private,Premises,Valencia,Prink Primado Reig + Prink Iriparo,"Av. Primado Reig, 54 + Av. Primado Reig, 54",46010.0 + 46010.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",11.65,1,High,InPost | SEUR + InPost | SEUR,False
VAL_LOC_000065,3,PUDO,67,24/7 Galp Valencia Prima,"Av. Primado Reig, 10",39.49058748633797,-0.3720707193192085,300,46009.0,67 + 410 + 971,InPost + SEUR + Pudo,Convenience Stores + Locker + Click&Collect,Privada,Service Station,Valencia,InPost + Seur + PUDO,Convenience stores + Lockers + Click&Collect,Private,Service Station,Valencia,24/7 Galp Valencia Prima + Seur Lockers E.S. Galp Pri + E.S. Galp Primado Reig,"Av. Primado Reig, 10 + AVD/PRIMADO REIG, Nº10 + Av. Primado Reig, 10",46009.0 + 46009.0 + 46009.0,,,,7 + 1 + 3,Convenience Store + Locker + Click & Collect,1,3,3,True,False,True,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",12.31,1,High,InPost | Pudo | SEUR + InPost | Pudo | SEUR + InPost | Pudo | SEUR,False
VAL_LOC_000073,5,PUDO,77,Ibertinta Valencia,"Av. de Peris y Valero, 85",39.45899575747238,-0.37202730243788834,600,46006.0,77 + 159 + 409 + 776 + 874,InPost + Amazon + SEUR + Gls + UPS,Convenience Stores,Privada,Premises,Valencia,InPost + Amazon + Seur + GLS + UPS,Convenience stores,Private,Premises,Valencia,Ibertinta Valencia + Seur - Ibertinta Valencia + Ibertinta Valencia + Ps Ibertinta Valencia + Ibertinta,"Av. de Peris y Valero, 85 + PERIS Y VALERO 85 + Av. de Peris y Valero, 85 + Av. de Peris y Valero, 85 + Av. de Peris y Valero, 85",46006.0 + 46006.0 + 46006.0 + 46006.0 + 46006.0,,,,7 + 7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,5,5,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",23.74,2,Medium,Amazon | Gls | InPost | SEUR | UPS + Amazon | Gls | InPost | SEUR | UPS + Amazon | Gls | InPost | SEUR | UPS + Amazon | Gls | InPost | SEUR | UPS + Amazon | Gls | InPost | SEUR | UPS,False
VAL_LOC_000077,2,PUDO,81,Ferreteria Insa Valencia,"Calle de Matías Perelló, 8",39.46095095743507,-0.3689256083313728,240,46005.0,81 + 774,InPost + Gls,Convenience Stores,Privada,Premises,Valencia,InPost + GLS,Convenience stores,Private,Premises,Valencia,Ferreteria Insa Valencia + Ps Ferreteria Insa Valencia,"Calle de Matías Perelló, 8 + Calle de Matías Perelló, 8",46005.0 + 46005.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",18.65,2,Medium,Gls | InPost + Gls | InPost,False
VAL_LOC_000083,6,PUDO,87,Estanco Joaquin Costa,"C. Joaquín Costa, 44",39.46460380960883,-0.36624830253612867,720,46005.0,87 + 147 + 525 + 529 + 611 + 870,InPost + Amazon + Celeritas + Celeritas + Ctt Express + UPS,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + Amazon + Celeritas + Celeritas + CTT Express + UPS,Convenience stores,Private,Premises,Valencia + Valecia,Estanco Joaquin Costa + Estanco Joaquin Costa 44 + Estanco Prensa C/ Joaquin Costa 44 + Estanco Prensa C/ Joaquin Costa 44 + Estanco Prensa C/ Joaquin Costa 44 + Fnx-Estanco Joaquin Costa 44,"C. Joaquín Costa, 44 + C. Joaquín Costa, 44 + C. Joaquín Costa, 44 + C. Joaquín Costa, 44 + C. Joaquín Costa, 44 + C. Joaquín Costa, 44",46005.0 + 46005.0 + 46005.0 + 46005.0 + 46005.0 + 46005.0,,,,7 + 7 + 7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,6,5,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",20.7,2,Medium,Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS,False
VAL_LOC_000084,2,PUDO,88,Estanco Amadeo Saboya,"C. de Amadeo de Saboya, 24",39.47305570427204,-0.35945838257285523,240,46010.0,88 + 403,InPost + SEUR,Convenience Stores,Privada,Premises,Valencia,InPost + Seur,Convenience stores,Private,Premises,Valencia,Estanco Amadeo Saboya + Estanco Amadeo De Saboya,"C. de Amadeo de Saboya, 24 + C. de Amadeo de Saboya, 24",46010.0 + 46010.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",17.48,2,Medium,InPost | SEUR + InPost | SEUR,False
VAL_LOC_000087,4,PUDO,91,Kiosco Mestalla,"C. Micer Mascó, 19",39.475705026401315,-0.36205767167047165,480,46010.0,91 + 203 + 852 + 890,InPost + Amazon + Nacex + UPS,Convenience Stores,Privada,Kiosk + Premises,Valencia,InPost + Amazon + Nacex + UPS,Convenience stores,Private,Kiosk + Premises,Valencia,Kiosco Mestalla + Kioscomestalla + Kioscomestalla (4601-43) + Fnx-Kiosko Mestalla,"C. Micer Mascó, 19 + C. Micer Mascó, 19 + C. Micer Mascó, 19 + C. Micer Mascó, 19",46010.0 + 46010.0 + 46010.0 + 46010.0,,,,7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,4,4,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",25.62,2,Medium,Amazon | InPost | Nacex | UPS + Amazon | InPost | Nacex | UPS + Amazon | InPost | Nacex | UPS + Amazon | InPost | Nacex | UPS,False
