Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
59,594,60,595,InPost,Amazon,Locker,Locker,PUDO,PUDO,Lockers 24/7 Bamsa Gracia Consel,Amazon Lockers - Cullell,"Passeig de Gràcia, 33","Passeig de Gràcia, 31",7.53,95.0,40.74,True,False,False,True,True,True,Same group - close distance,same group and distance <= 15m
59,2009,60,2010,InPost,UPS,Locker,Convenience Stores,PUDO,PUDO,Lockers 24/7 Bamsa Gracia Consel,P Taquilla Pkg Saba Gracia Ii,"Passeig de Gràcia, 33","Passeig de Gràcia, 33",8.11,100.0,42.62,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
59,264,60,265,InPost,InPost,Locker,Locker,PUDO,PUDO,Lockers 24/7 Bamsa Gracia Consel,Lockers 24/7 Bamsa Gracia Consell,"Passeig de Gràcia, 33","Pg. de Gràcia, 33",28.27,85.71,98.46,True,True,True,True,True,True,Same group - strong text match,same group and strong location/address match
60,2200,61,2201,InPost,Pudo,Locker,Click&Collect,PUDO,PUDO,Lockers 24/7 Bamsa Jardinets De,Saba Gracia I - Jardinets,"Jardins de Salvador Espriu, Pg. de Gràcia, s/n","Jardins de Salvador Espriu, Pg. de Gràcia, s/n",5.38,100.0,51.85,False,False,False,False,True,True,Same group - strong text match,same group and strong location/address match
61,597,62,598,InPost,Amazon,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Diputacio Barc,Amazon Lockers - Deverra,"Carrer de la Diputació, s/n","Carrer de la Diputació, s/n",9.52,100.0,33.33,False,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
61,2196,62,2197,InPost,Pudo,Locker,Click&Collect,PUDO,PUDO,Lockers 24/7 Saba Diputacio Barc,Parking Saba Diputacio,"Carrer de la Diputació, s/n","Carrer de la Diputació, s/n",23.49,100.0,59.26,False,False,False,False,True,True,Same group - strong text match,same group and strong location/address match
62,1253,63,1254,InPost,SEUR,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Pau Claris,Seur Lockers Pkn Saba Pau,"C. de Pau Claris, 174","C. de Pau Claris, 174",6.82,100.0,64.15,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
62,846,63,847,InPost,Amazon,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Pau Claris,Amazon Lockers - Hathor,"C. de Pau Claris, 174","C. de Pau Claris, 174",13.03,100.0,40.82,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
62,2199,63,2200,InPost,Pudo,Locker,Click&Collect,PUDO,PUDO,Lockers 24/7 Saba Pau Claris,Parking Saba Pau Claris,"C. de Pau Claris, 174","Carrer de Pau Claris, 174",21.5,88.37,66.67,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
65,1572,66,1573,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Logo Phones,Logo Phones.,"C. de Pau Claris, 107","C. de Pau Claris, 107",2.0,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
65,604,66,605,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Logo Phones,Amazon Counter - Logo Phones,"C. de Pau Claris, 107","C. de Pau Claris, 107",4.47,100.0,59.46,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
68,603,69,604,InPost,Amazon,Convenience Stores,Locker,PUDO,PUDO,Prink Sant Joan,Amazon Lockers - Idarraga,Passeig De Sant Joan 51,"Pg. de St. Joan, 53",12.47,76.92,21.05,True,False,False,False,True,True,Same group - close distance,same group and distance <= 15m
69,1731,70,1732,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Tesco Mobils,Tesco Mobil 2,"Carrer de Mallorca, 341","Carrer de Mallorca, 341",45.81,100.0,88.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
72,609,73,610,InPost,Amazon,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Urquinaona,Amazon Lockers - Crecente,Pl. d'Urquinaona,Pl. d'Urquinaona,5.22,100.0,39.22,False,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
72,1012,73,1013,InPost,SEUR,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Urquinaona,Seur Lockers Pkn Saba Urqu,Pl. d'Urquinaona,Pl. d'Urquinaona s/n,6.35,88.24,66.67,False,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
72,2012,73,2013,InPost,UPS,Locker,Convenience Stores,PUDO,PUDO,Lockers 24/7 Saba Urquinaona,P Taquilla Pk Saba Urquinaona,Pl. d'Urquinaona,Pl. d'Urquinaona,7.16,100.0,63.16,False,False,False,False,True,True,Same group - strong text match,same group and strong location/address match
75,1016,76,1017,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Foxlive,Estanco Sepulveda,Carrer De Sepulveda 175,"Carrer de Sepúlveda, 173",8.18,95.65,33.33,True,False,False,True,True,True,Same group - close distance,same group and distance <= 15m
76,1920,77,1921,InPost,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Decompras365com,Decompras365.Com,"C. de Muntaner, 25","C. de Muntaner, 25",2.0,100.0,96.77,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
76,621,77,622,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Decompras365com,Amazon Counter - Decompras365.Com,"C. de Muntaner, 25","C. de Muntaner, 25",2.53,100.0,65.22,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
76,2013,77,2014,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Decompras365com,Decompras365.Com,"C. de Muntaner, 25","C. de Muntaner, 25",47.33,100.0,96.77,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
76,1333,77,1334,InPost,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,Decompras365com,Decompras365.Com,"C. de Muntaner, 25","C. de Muntaner, 25",49.26,100.0,96.77,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
77,1020,78,1021,InPost,SEUR,Convenience Stores,Locker,PUDO,PUDO,Optica Marcos,Seur Lockers Pkn Saba Urge,Carrer De Tamarit 156,"Carrer del Comte d'Urgell, 12",9.31,57.14,25.64,True,False,False,False,True,True,Same group - close distance,same group and distance <= 15m
