Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
28 Madrid;28079 Madrid;2807902011 Madrid sección 02011;Total;Todas las edades;2025;1.553
28 Madrid;28079 Madrid;2807902013 Madrid sección 02013;Total;Todas las edades;2025;1.206
28 Madrid;28079 Madrid;2807902014 Madrid sección 02014;Total;Todas las edades;2025;1.102
28 Madrid;28079 Madrid;2807902015 Madrid sección 02015;Total;Todas las edades;2025;1.599
28 Madrid;28079 Madrid;2807902016 Madrid sección 02016;Total;Todas las edades;2025;1.989
28 Madrid;28079 Madrid;2807902017 Madrid sección 02017;Total;Todas las edades;2025;1.771
28 Madrid;28079 Madrid;2807902018 Madrid sección 02018;Total;Todas las edades;2025;2.063
28 Madrid;28079 Madrid;2807902019 Madrid sección 02019;Total;Todas las edades;2025;1.389
28 Madrid;28079 Madrid;2807902020 Madrid sección 02020;Total;Todas las edades;2025;1.117
28 Madrid;28079 Madrid;2807902021 Madrid sección 02021;Total;Todas las edades;2025;1.110
28 Madrid;28079 Madrid;2807902022 Madrid sección 02022;Total;Todas las edades;2025;1.060
28 Madrid;28079 Madrid;2807902023 Madrid sección 02023;Total;Todas las edades;2025;1.215
28 Madrid;28079 Madrid;2807902024 Madrid sección 02024;Total;Todas las edades;2025;1.704
28 Madrid;28079 Madrid;2807902025 Madrid sección 02025;Total;Todas las edades;2025;839
28 Madrid;28079 Madrid;2807902026 Madrid sección 02026;Total;Todas las edades;2025;1.312
28 Madrid;28079 Madrid;2807902027 Madrid sección 02027;Total;Todas las edades;2025;959
28 Madrid;28079 Madrid;2807902028 Madrid sección 02028;Total;Todas las edades;2025;970
28 Madrid;28079 Madrid;2807902029 Madrid sección 02029;Total;Todas las edades;2025;775
28 Madrid;28079 Madrid;2807902030 Madrid sección 02030;Total;Todas las edades;2025;1.312
28 Madrid;28079 Madrid;2807902031 Madrid sección 02031;Total;Todas las edades;2025;1.089
28 Madrid;28079 Madrid;2807902032 Madrid sección 02032;Total;Todas las edades;2025;649
28 Madrid;28079 Madrid;2807902033 Madrid sección 02033;Total;Todas las edades;2025;1.243
28 Madrid;28079 Madrid;2807902034 Madrid sección 02034;Total;Todas las edades;2025;913
28 Madrid;28079 Madrid;2807902035 Madrid sección 02035;Total;Todas las edades;2025;1.009
28 Madrid;28079 Madrid;2807902036 Madrid sección 02036;Total;Todas las edades;2025;952
28 Madrid;28079 Madrid;2807902037 Madrid sección 02037;Total;Todas las edades;2025;1.280
28 Madrid;28079 Madrid;2807902038 Madrid sección 02038;Total;Todas las edades;2025;1.072
28 Madrid;28079 Madrid;2807902039 Madrid sección 02039;Total;Todas las edades;2025;761
28 Madrid;28079 Madrid;2807902040 Madrid sección 02040;Total;Todas las edades;2025;1.738
28 Madrid;28079 Madrid;2807902041 Madrid sección 02041;Total;Todas las edades;2025;2.066
28 Madrid;28079 Madrid;2807902042 Madrid sección 02042;Total;Todas las edades;2025;1.834
28 Madrid;28079 Madrid;2807902043 Madrid sección 02043;Total;Todas las edades;2025;975
28 Madrid;28079 Madrid;2807902044 Madrid sección 02044;Total;Todas las edades;2025;1.829
28 Madrid;28079 Madrid;2807902045 Madrid sección 02045;Total;Todas las edades;2025;1.123
28 Madrid;28079 Madrid;2807902046 Madrid sección 02046;Total;Todas las edades;2025;1.335
28 Madrid;28079 Madrid;2807902047 Madrid sección 02047;Total;Todas las edades;2025;1.637
28 Madrid;28079 Madrid;2807902048 Madrid sección 02048;Total;Todas las edades;2025;1.236
28 Madrid;28079 Madrid;2807902049 Madrid sección 02049;Total;Todas las edades;2025;1.689
28 Madrid;28079 Madrid;2807902050 Madrid sección 02050;Total;Todas las edades;2025;1.637
28 Madrid;28079 Madrid;2807902051 Madrid sección 02051;Total;Todas las edades;2025;2.055
28 Madrid;28079 Madrid;2807902052 Madrid sección 02052;Total;Todas las edades;2025;1.718
28 Madrid;28079 Madrid;2807902053 Madrid sección 02053;Total;Todas las edades;2025;1.673
28 Madrid;28079 Madrid;2807902054 Madrid sección 02054;Total;Todas las edades;2025;1.160
28 Madrid;28079 Madrid;2807902055 Madrid sección 02055;Total;Todas las edades;2025;1.256
28 Madrid;28079 Madrid;2807902056 Madrid sección 02056;Total;Todas las edades;2025;1.084
28 Madrid;28079 Madrid;2807902057 Madrid sección 02057;Total;Todas las edades;2025;1.553
28 Madrid;28079 Madrid;2807902058 Madrid sección 02058;Total;Todas las edades;2025;1.607
28 Madrid;28079 Madrid;2807902059 Madrid sección 02059;Total;Todas las edades;2025;723
28 Madrid;28079 Madrid;2807902060 Madrid sección 02060;Total;Todas las edades;2025;1.401
28 Madrid;28079 Madrid;2807902061 Madrid sección 02061;Total;Todas las edades;2025;863
28 Madrid;28079 Madrid;2807902062 Madrid sección 02062;Total;Todas las edades;2025;1.041
28 Madrid;28079 Madrid;2807902063 Madrid sección 02063;Total;Todas las edades;2025;1.698
28 Madrid;28079 Madrid;2807902064 Madrid sección 02064;Total;Todas las edades;2025;1.711
28 Madrid;28079 Madrid;2807902065 Madrid sección 02065;Total;Todas las edades;2025;1.528
28 Madrid;28079 Madrid;2807902066 Madrid sección 02066;Total;Todas las edades;2025;2.469
28 Madrid;28079 Madrid;2807902067 Madrid sección 02067;Total;Todas las edades;2025;1.484
28 Madrid;28079 Madrid;2807902068 Madrid sección 02068;Total;Todas las edades;2025;1.129
28 Madrid;28079 Madrid;2807902069 Madrid sección 02069;Total;Todas las edades;2025;898
28 Madrid;28079 Madrid;2807902070 Madrid sección 02070;Total;Todas las edades;2025;1.356
28 Madrid;28079 Madrid;2807902071 Madrid sección 02071;Total;Todas las edades;2025;1.406
28 Madrid;28079 Madrid;2807902072 Madrid sección 02072;Total;Todas las edades;2025;1.639
28 Madrid;28079 Madrid;2807902073 Madrid sección 02073;Total;Todas las edades;2025;1.780
28 Madrid;28079 Madrid;2807902074 Madrid sección 02074;Total;Todas las edades;2025;1.778
28 Madrid;28079 Madrid;2807902075 Madrid sección 02075;Total;Todas las edades;2025;1.943
28 Madrid;28079 Madrid;2807902077 Madrid sección 02077;Total;Todas las edades;2025;1.186
28 Madrid;28079 Madrid;2807902078 Madrid sección 02078;Total;Todas las edades;2025;870
28 Madrid;28079 Madrid;2807902079 Madrid sección 02079;Total;Todas las edades;2025;1.222
28 Madrid;28079 Madrid;2807902080 Madrid sección 02080;Total;Todas las edades;2025;942
28 Madrid;28079 Madrid;2807902081 Madrid sección 02081;Total;Todas las edades;2025;1.168
28 Madrid;28079 Madrid;2807902082 Madrid sección 02082;Total;Todas las edades;2025;1.206
28 Madrid;28079 Madrid;2807902083 Madrid sección 02083;Total;Todas las edades;2025;2.184
28 Madrid;28079 Madrid;2807902085 Madrid sección 02085;Total;Todas las edades;2025;1.206
28 Madrid;28079 Madrid;2807902086 Madrid sección 02086;Total;Todas las edades;2025;1.280
28 Madrid;28079 Madrid;2807902087 Madrid sección 02087;Total;Todas las edades;2025;2.166
28 Madrid;28079 Madrid;2807902088 Madrid sección 02088;Total;Todas las edades;2025;689
28 Madrid;28079 Madrid;2807902089 Madrid sección 02089;Total;Todas las edades;2025;1.027
28 Madrid;28079 Madrid;2807902090 Madrid sección 02090;Total;Todas las edades;2025;1.781
28 Madrid;28079 Madrid;2807902091 Madrid sección 02091;Total;Todas las edades;2025;1.129
28 Madrid;28079 Madrid;2807902092 Madrid sección 02092;Total;Todas las edades;2025;1.859
28 Madrid;28079 Madrid;2807902093 Madrid sección 02093;Total;Todas las edades;2025;1.473
28 Madrid;28079 Madrid;2807902094 Madrid sección 02094;Total;Todas las edades;2025;1.682
28 Madrid;28079 Madrid;2807902095 Madrid sección 02095;Total;Todas las edades;2025;1.763
