Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
575,1311,576,1312,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Alimentacion Dtodo,Amazon Counter - Alimentacion & Dtodo,"Av del Monte Igueldo, 108","Av del Monte Igueldo, 108",21.6,100.0,70.59,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
575,1909,576,1910,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Alimentacion Dtodo,Alimentacion Y De Todo,"Av del Monte Igueldo, 108","Av del Monte Igueldo, 108",22.35,100.0,90.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
577,3108,578,3110,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Atemprana Ortopedia,Ortopedia Atemprana,"C. de Eduardo Sanz, 14","C. de Eduardo Sanz, 14",7.39,100.0,47.37,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
578,2222,579,2223,InPost,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Loterias Y Prensa La Fabrica De,Loteria Prensa Fabrica De Los Sueños,"Av. de la Peseta, 58","Av. de la Peseta, 58",5.48,100.0,74.63,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
578,2617,579,2618,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Loterias Y Prensa La Fabrica De,Loteria Prensa Fabrica De Los Sueños,"Av. de la Peseta, 58","Av. de la Peseta, 58",17.84,100.0,74.63,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
579,2825,580,2827,InPost,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco 903 Madrid,Estanco 903 (2883-31),"Av. de Carabanchel Alto, 136","Av. de Carabanchel Alto, 136",27.04,100.0,64.86,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
579,2619,580,2620,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco 903 Madrid,Estanco 903,"Av. de Carabanchel Alto, 136","Av. de Carabanchel Alto, 136",29.2,100.0,75.86,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
581,1315,582,1316,InPost,Amazon,Locker,Locker,PUDO,PUDO,Locker 24/7 Repsol Cred Pau Car,Amazon Locker - Bornear Repsol,"Av. de la Peseta, 6","Avenida de la Peseta, 6",30.55,87.18,47.46,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
582,3185,583,3187,InPost,Pudo,Locker,Click&Collect,PUDO,PUDO,Locker Cc Islazul,C.C. Isla Azul,"C. de la Calderilla, 1","C. de la Calderilla, 1",2.86,100.0,73.33,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
582,1912,583,1913,InPost,SEUR,Locker,Locker,PUDO,PUDO,Locker Cc Islazul,Seur Locker Lidl Isla Az,"C. de la Calderilla, 1","C. de la Calderilla, 1",8.82,100.0,63.41,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
582,1913,583,1914,InPost,SEUR,Locker,Locker,PUDO,PUDO,Locker Cc Islazul,Seur Locker Cc Isla Azul,"C. de la Calderilla, 1","C. de la Calderilla, 1",8.82,100.0,82.93,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
583,1316,584,1317,InPost,Amazon,Locker,Locker,PUDO,PUDO,Locker 24/7 Shell Avda Aviacion,Amazon Locker - Marcia Disa,"Av de la Aviación, 26",Avda. De La Aviacion,7.96,87.18,39.29,False,False,False,True,True,True,Same group - strong text match,same group and strong location/address match
589,590,590,591,Correos,Correos,Lsp Pudos,Locker,PUDO,PUDO,Correos Madrid Sucursal 1,Correos Madrid Sucursal 1,"C. de Villanueva, 30","C. de Villanueva, 30",0.0,100.0,100.0,True,True,True,False,True,True,Same group - strong text match,same group and strong location/address match
589,771,590,772,Correos,Amazon,Lsp Pudos,Locker,PUDO,PUDO,Correos Madrid Sucursal 1,Lockers Correos Madrid Sucursal 1,"C. de Villanueva, 30","C. de Villanueva, 30",29.89,100.0,86.21,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
589,770,590,771,Correos,Amazon,Lsp Pudos,Locker,PUDO,PUDO,Correos Madrid Sucursal 1,Correos Madrid Sucursal 1,"C. de Villanueva, 30","C. de Villanueva, 30",32.92,100.0,100.0,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
590,771,591,772,Correos,Amazon,Locker,Locker,PUDO,PUDO,Correos Madrid Sucursal 1,Lockers Correos Madrid Sucursal 1,"C. de Villanueva, 30","C. de Villanueva, 30",29.89,100.0,86.21,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
590,770,591,771,Correos,Amazon,Locker,Locker,PUDO,PUDO,Correos Madrid Sucursal 1,Correos Madrid Sucursal 1,"C. de Villanueva, 30","C. de Villanueva, 30",32.92,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
593,2871,594,2873,Correos,UPS,Locker,Locker,PUDO,PUDO,Mercado De Prosperidad,Mercado Prosperidad,"C. de López de Hoyos, 81","C. de López de Hoyos, 81",12.12,100.0,92.68,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
593,1329,594,1330,Correos,SEUR,Locker,Locker,PUDO,PUDO,Mercado De Prosperidad,Mercado Prosperidad,"C. de López de Hoyos, 81","C. de López de Hoyos, 81",15.23,100.0,92.68,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
593,779,594,780,Correos,Amazon,Locker,Locker,PUDO,PUDO,Mercado De Prosperidad,Lockers Calabres,"C. de López de Hoyos, 81","C. de López de Hoyos, 81",26.15,100.0,31.58,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
